Date,Open,High,Low,Close,Adj Close,Volume
2016-01-15,39750.000000,41150.000000,38250.000000,39000.000000,39000.000000,117685
2016-01-18,39250.000000,39250.000000,37900.000000,38000.000000,38000.000000,54272
2016-01-19,38000.000000,38950.000000,37550.000000,37550.000000,37550.000000,56180
2016-01-20,37100.000000,37300.000000,34300.000000,35050.000000,35050.000000,212972
2016-01-21,34850.000000,35550.000000,34300.000000,34950.000000,34950.000000,62000
2016-01-22,34950.000000,35450.000000,33950.000000,34000.000000,34000.000000,80115
2016-01-25,34700.000000,34700.000000,33650.000000,33900.000000,33900.000000,73394
2016-01-26,34150.000000,34150.000000,32950.000000,33200.000000,33200.000000,79685
2016-01-27,33800.000000,35200.000000,33300.000000,35000.000000,35000.000000,74959
2016-01-28,35000.000000,35750.000000,35000.000000,35700.000000,35700.000000,49956
2016-01-29,36200.000000,36800.000000,35350.000000,36500.000000,36500.000000,56841
2016-02-01,36700.000000,37200.000000,36000.000000,36250.000000,36250.000000,35928
2016-02-02,35900.000000,37100.000000,35850.000000,37000.000000,37000.000000,38096
2016-02-03,36650.000000,37300.000000,35700.000000,36300.000000,36300.000000,24184
2016-02-04,36450.000000,37200.000000,35950.000000,36300.000000,36300.000000,44700
2016-02-05,36300.000000,36700.000000,35550.000000,36350.000000,36350.000000,32727
2016-02-11,34950.000000,35450.000000,33600.000000,34400.000000,34400.000000,96132
2016-02-12,34550.000000,34600.000000,32500.000000,33500.000000,33500.000000,81347
2016-02-15,33550.000000,35000.000000,33300.000000,34950.000000,34950.000000,54682
2016-02-16,35100.000000,35400.000000,34400.000000,34800.000000,34800.000000,29667
2016-02-17,34600.000000,35150.000000,33850.000000,34300.000000,34300.000000,32375
2016-02-18,34850.000000,35100.000000,34250.000000,34900.000000,34900.000000,32123
2016-02-19,35100.000000,35150.000000,33750.000000,34150.000000,34150.000000,55684
2016-02-22,34150.000000,34650.000000,33900.000000,34200.000000,34200.000000,24166
2016-02-23,34350.000000,34900.000000,33700.000000,34400.000000,34400.000000,35325
2016-02-24,34500.000000,35000.000000,34150.000000,34150.000000,34150.000000,39425
2016-02-25,34000.000000,35900.000000,33850.000000,35050.000000,35050.000000,102559
2016-02-26,35100.000000,36250.000000,34700.000000,35300.000000,35300.000000,118615
2016-02-29,35200.000000,36400.000000,34750.000000,36350.000000,36350.000000,138555
2016-03-02,36950.000000,37250.000000,35750.000000,36450.000000,36450.000000,119968
2016-03-03,36500.000000,37100.000000,35600.000000,36300.000000,36300.000000,78801
2016-03-04,36200.000000,36950.000000,35650.000000,36600.000000,36600.000000,70497
2016-03-07,37000.000000,37000.000000,35850.000000,36050.000000,36050.000000,63312
2016-03-08,36050.000000,36150.000000,35300.000000,36000.000000,36000.000000,38658
2016-03-09,36050.000000,36200.000000,35550.000000,36100.000000,36100.000000,47150
2016-03-10,36800.000000,37150.000000,36250.000000,37000.000000,37000.000000,108721
2016-03-11,37100.000000,38450.000000,36600.000000,37100.000000,37100.000000,126491
2016-03-14,37400.000000,37550.000000,36050.000000,36300.000000,36300.000000,70825
2016-03-15,36350.000000,37450.000000,35650.000000,37200.000000,37200.000000,101035
2016-03-16,37250.000000,38400.000000,36750.000000,38250.000000,38250.000000,94438
2016-03-17,38300.000000,39100.000000,37850.000000,38750.000000,38750.000000,87338
2016-03-18,38750.000000,39450.000000,38200.000000,39400.000000,39400.000000,87543
2016-03-21,39800.000000,39800.000000,38350.000000,38350.000000,38350.000000,85032
2016-03-22,38750.000000,39100.000000,37900.000000,39000.000000,39000.000000,86143
2016-03-23,39000.000000,39850.000000,38400.000000,38400.000000,38400.000000,86602
2016-03-24,38450.000000,39100.000000,37400.000000,38000.000000,38000.000000,79452
2016-03-25,38300.000000,38900.000000,37700.000000,38250.000000,38250.000000,54943
2016-03-28,39400.000000,39950.000000,38600.000000,38900.000000,38900.000000,71121
2016-03-29,39450.000000,39450.000000,38600.000000,39000.000000,39000.000000,35716
2016-03-30,39000.000000,39550.000000,38650.000000,39050.000000,39050.000000,33420
2016-03-31,39800.000000,40800.000000,39050.000000,40800.000000,40800.000000,99363
2016-04-01,40850.000000,41100.000000,40350.000000,40750.000000,40750.000000,59006
2016-04-04,40750.000000,41750.000000,40200.000000,41700.000000,41700.000000,67047
2016-04-05,41700.000000,42200.000000,41200.000000,41700.000000,41700.000000,49241
2016-04-06,41250.000000,41650.000000,40100.000000,40200.000000,40200.000000,66675
2016-04-07,40300.000000,40800.000000,39800.000000,40300.000000,40300.000000,52513
2016-04-08,39750.000000,40900.000000,39400.000000,40800.000000,40800.000000,49634
2016-04-11,40350.000000,40400.000000,39650.000000,39800.000000,39800.000000,52214
2016-04-12,39800.000000,40500.000000,39500.000000,40350.000000,40350.000000,32436
2016-04-14,40050.000000,40750.000000,39750.000000,40750.000000,40750.000000,37997
2016-04-15,40750.000000,41050.000000,39800.000000,40750.000000,40750.000000,58707
2016-04-18,40200.000000,40800.000000,39900.000000,40350.000000,40350.000000,42269
2016-04-19,40750.000000,40800.000000,40050.000000,40650.000000,40650.000000,43487
2016-04-20,40300.000000,41650.000000,40300.000000,41550.000000,41550.000000,38205
2016-04-21,41500.000000,41700.000000,40900.000000,41000.000000,41000.000000,41832
2016-04-22,41200.000000,42000.000000,40600.000000,41800.000000,41800.000000,75956
2016-04-25,41850.000000,42600.000000,41500.000000,42350.000000,42350.000000,45577
2016-04-26,41900.000000,42500.000000,41550.000000,42350.000000,42350.000000,41161
2016-04-27,42650.000000,42700.000000,41650.000000,41900.000000,41900.000000,34096
2016-04-28,42250.000000,42250.000000,41500.000000,42000.000000,42000.000000,39218
